County,Centerline Miles,Lane-miles,Area (sy),Area (sm),PCI 2008,PCI 2010,PCI 2012,PCI 2014,PCI 2016,PCI 2018,PCI 2020,Change in PCI,Population,LOST Active between 08-20,Measure expired and replaced?,Period Active,LOST Rate,Multiple LOSTS Active at same time?,Average Streets & Roads Percent,Average Local Return Percent,Streets Metric,Local Return Metric,Did the PCI start below 60?,Did the PCI fall below 60?,Pop per lane miles,Most Common Climate Zone,Climate Zone Percentage,CZP1,CZP2,CZP3,CZP4,CZP5,CZP6,CZP7,CZP8,CZP9,CZP10,CZP11,CZP12,CZP13,CZP14,CZP15,CZP16
San Francisco,943,2142,21249793,6.860082967,62,63,65,66,68,74,74,12,874784,TRUE,FALSE,1.00,0.01,FALSE,0.25,0.00,0.00123,0,FALSE,FALSE,408.3958917,3,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
San Joaquin,3237,6779,60307486,19.46910059,70,70,67,73,70,70,67,-3,751615,TRUE,TRUE,1.00,0.01,FALSE,0.26,0.26,0.0013125,0.0013125,FALSE,FALSE,110.8740227,12,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
San Luis Obispo,1980,3569,37159695,11.99628583,64,64,63,64,63,65,59,-5,282517,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,79.15858784,5,0.7400,0.0000,0.0000,0.0000,0.2647,0.7353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
San Mateo,1884,3942,34071528,10.9993311,69,70,71,70,71,72,68,-1,765623,TRUE,TRUE,1.00,0.01,TRUE,0.23,0.23,0.00121875,0.00121875,FALSE,FALSE,194.2219685,3,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Santa Barbara,1607,3352,29854633,9.637988443,72,70,67,66,63,61,61,-11,444895,TRUE,TRUE,1.00,0.00,FALSE,0.60,0.60,0.0027671875,0.0027671875,FALSE,FALSE,132.7252387,6,0.5500,0.0000,0.0000,0.0000,0.0238,0.4048,0.5476,0.0000,0.0000,0.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Santa Clara,4510,10039,97993485,31.63529345,70,69,73,68,67,70,69,-1,1924379,TRUE,FALSE,1.00,0.01,TRUE,0.02,0.02,0.0002375,0.0002375,FALSE,FALSE,191.6903078,4,0.9400,0.0000,0.0000,0.0574,0.9426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Santa Cruz,873,1757,14104814,4.553465263,52,48,48,57,50,55,55,3,273170,TRUE,FALSE,0.25,0.01,FALSE,0.30,0.30,0.000375,0.000375,TRUE,TRUE,155.4752419,3,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Shasta,1579,3100,24430506,7.886914385,64,67,57,60,57,58,49,-15,179267,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,57.82806452,11,0.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.3333
Sierra,399,800,5566517,1.797041903,73,71,71,45,44,44,45,-28,2898,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,3.6225,16,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Siskiyou,1488,2985,20233539,6.532005101,57,57,57,57,58,56,62,5,43516,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,14.57822446,16,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Solano,1745,3766,33387951,10.77865154,66,66,67,65,68,67,65,-1,444538,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,118.0398301,12,0.8100,0.0000,0.0000,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8125,0.0000,0.0000,0.0000,0.0000
Sonoma,2390,4991,40203089,12.97878648,53,50,50,52,55,54,58,5,496801,TRUE,FALSE,1.00,0.00,FALSE,0.40,0.20,0.001,0.0005,TRUE,TRUE,99.53937087,2,0.7800,0.2157,0.7843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Stanislaus,2908,5981,52101939,16.82009911,60,51,52,55,55,63,61,1,546235,TRUE,FALSE,0.25,0.01,FALSE,0.60,0.65,0.00075,0.0008125,FALSE,TRUE,91.32837318,12,0.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9655,0.0000,0.0000,0.0000,0.0345
Sutter,1032,2079,16016764,5.170701188,73,56,56,65,70,69,59,-14,96315,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,46.32756133,11,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tehama,1202,2408,17509230,5.65251485,69,65,65,62,53,54,50,-19,64176,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,26.65116279,11,0.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7692,0.0000,0.0000,0.0000,0.0000,0.2308
Trinity,592,1112,7477638,2.414010201,52,50,50,60,62,59,54,2,12541,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,11.2778777,16,0.8500,0.0000,0.1538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8462
Tulare,3570,7192,58952533,19.03168033,66,68,68,68,60,62,62,-4,463955,TRUE,FALSE,1.00,0.01,FALSE,0.35,0.35,0.00175,0.00175,FALSE,FALSE,64.50987208,13,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9000,0.0000,0.0000,0.1000
Tuolumne,547,1083,7109056,2.295020661,62,62,62,47,41,41,28,-34,54147,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,49.99722992,12,0.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7333,0.0000,0.0000,0.0000,0.2667
Ventura,2535,5577,56220129,18.14957677,64,66,69,70,71,69,68,4,845599,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,151.6225569,9,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.4681,0.0000,0.0000,0.5319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Yolo,1344,2696,23500992,7.586838843,69,67,63,60,55,58,57,-12,218774,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,81.14762611,12,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0476,0.9524,0.0000,0.0000,0.0000,0.0000
Yuba,1066,1504,19557588,6.313787448,74,56,56,60,60,66,67,-7,77524,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,51.54521277,11,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.2500
